line,OE,ME
2739,áða on        unriht·    ic ðæs ealles mæg,"oaths        unjustly;    I all of it can,"
2740,feorhbennum        séoc    geféan habban,"sick with        mortal-injuries,    have rejoicing,"
2741,forðám mé wítan ne        ðearf     Waldend fíra,"because he will not need to reproach        me,    the Ruler of men,"
2742,morðorbealo        mága    þonne mín sceaceð,"for dire murder of        kin,    when departs my"
2743,líf of        líce.    Nú ðú lungre geong,life from        body.    Now go you quickly
2744,"hord        scéawian    under hárne stán,","to examine the        hoard    under the hoary grey stone,"
2745,"Wígláf léofa,    nú        se wyrm ligeð,","dear Wiglaf,    now        the wyrm lies dead,"
2746,swefeð sáre        wund    since beréafod,"sleeping sorely        wounded,    deprived of treasure"
2747,bío nú on        ofoste    þæt ic aérwelan,"be now in        haste,    that I the ancient wealth,"
2748,goldaéht        ongite·    gearo scéawige,"the possession of gold might        perceive,    readily behold"
2749,swegle        searogimmas    þæt ic ðý séft mæge,"sparkling cleverly-cut        gems,    so that I can the more pleasantly"
2750,æfter        máððumwelan    mín álaétan,for        treasure-wealth    leave my
2751,líf ond        léodscipe    þone ic longe héold.',"life and        nation,    that long I ruled.'"
2752,Ðá ic snúde        gefrægn    sunu Wíhstánes,"Then I heard        swiftly    the son of Weohstan,"
2753,æfter        wordcwydum    wundum dryhtne,"after the        word-speech    the wounded lord,"
2754,"hýran        heaðosíocum,    hringnet beran","listened to the battle-sick        one,    bore a        net of rings,"
2755,brogdne        beadusercean    under beorges hróf.,woven        battle-shirt    under the barrow's roof.
2756,Geseah ðá        sigehréðig    þá hé bí sesse géong,"He saw then        victorious,    when he went by the seat,"
2757,"magoþegnmódig    máððumsigla        fealo,","the spirited young        thane,    many precious jewels,"
2758,gold        glitinian    grunde getenge,"glittering        gold    close to the ground,"
2759,wundur on        wealle    ond þæs wyrmes denn,"wonders on the        wall,    and the wyrm's den,"
2760,"ealdes        úhtflogan,    orcas stondan","the old        twilight-flier,    beakers standing,"
2761,fyrnmanna        fatu    feormendléase,"the vessels of men of        old    lacking a burnisher,"
2762,hyrstum        behrorene·    þaér wæs helm monig,stripped of        adornments;    there was a multitude of helms
2763,"eald ond        ómig,    earmbéaga fela","old and        rusty,    many arm-rings"
2764,searwum        gesaéled     sinc éaðe mæg,"cleverly        fastened     treasure easily may,"
2765,gold on        grunde    gumcynnes gehwone,"gold in the        ground,    any one of mankind"
2766,oferhígian    hýde        sé ðe wylle ,"overpower,     hide        he who will "
2767,swylce hé siomian        geseah    segn eallgylden,also he saw        hanging    a standard all-golden
2768,"héah ofer        horde,    hondwundra maést","high over the        hoard,    the greatest of hand-wrought wonders,"
2769,gelocen        leoðocræftum·    of ðám léoman stód,"linked with skill of        hands;    from it light issued,"
2770,"þæt hé þone        grundwong    ongitan meahte,","so that he on the        ground    could perceive,"
2771,wraéte        giondwlítan·    næs ðæs wyrmes þaér,look over the        ornament;    there was not of the wyrm
2772,onsýn aénig    ac        hyne ecg fornam.,"any        appearance,    for him the blade-edge        took."
2773,Ðá ic on hlaéwe        gefrægn     hord réafian,"Then I heard in the        mound    the hoard plundered,"
2774,"eald enta        geweorc    ánne mannan,","old work of        giants,    one man,"
2775,him on bearm        hlódon    bunan ond discas,him on his bosom        loaded    goblets and plates
2776,sylfes dóme    segn        éac genóm,"of his own        judgement    he also took the banner,"
2777,béacna        beorhtost·    bill aér gescód,the brightest beacon;  the bill     had already wounded
2778, ecg wæs        íren     ealdhláfordes, the edge was        iron     of that old lord
2779,þám ðára máðma            mundbora wæs,him who the        treasures'    protector was
2780,longe        hwíle·    lígegesan wæg,for a long        while;    the fire-terror had endured
2781,hátne for        horde    hioroweallende,"hot for sake of the        hoard,    fiercely welling up"
2782,middelnihtum    oð        þæt hé morðre swealt.,in the middle of        nights    until he died in violence.
2783,Ár wæs on        ofoste     eftsíðes georn,"The messenger was in        haste,    eager for return,"
2784,frætwum        gefyrðred·    hyne fyrwet bræc,"urged on by        treasures;    curiosity burst in him,"
2785,hwæðer        collenferð    cwicne gemétte,whether        bold-hearted    he would meet alive
2786,in ðám        wongstede    Wedra þéoden,"in that        place,    the chief of the Wederas"
2787,ellensíocne            þaér hé hine aér forlét·,"ill in        strength,    where he had left him earlier;"
2788,hé ðá mid þám        máðmum     maérne þíoden,"he then with that        treasures    to the glorious chieftain,"
2789,dryhten        sínne    dríorigne fand,"his lord,    found        bleeding,"
2790,ealdres æt        ende·    hé hine eft ongon,of life at an        end;    he again began on him
2791,wæteres        weorpan    oð þæt wordes ord,"to sprinkle        water,    until the word's point"
2792,bréosthord þurhbræc,"broke through the breast-hoard,"
2793,gomel on        giogoðe    gold scéawode:,the old one on the        youth    saw gold:
2794,'Ic ðára        frætwa    fréan ealles ðanc,"'I, for these        riches,    to the Lord of All, thanks"
2795,wuldurcyninge    wordum secge,"to the        Glory-King    say by words,"
2796,écum dryhtne    þé        ic hér on starie,"to the eternal        Lord,    which I look on here,"
2797,þæs ðe ic        móste    mínum léodum,that I was        able    for my people
2798,aér        swyltdæge    swylc gestrýnan,"before my        death-day    to gain such riches,"
2799,nú ic on máðma        hord    minne bebohte,now I for the hoard of        treasures    have paid with my
2800,fróde        feorhlege    fremmað géna,old span of        life.    Tend still
2801,léoda        þearfe·    ne mæg ic hér leng        wesan·,the need of the        nation.    I cannot be here longer;
2802,hátað        heaðomaére    hlaéw gewyrcean,order war-famed        men    to construct a mound
2803,beorhtne æfter        baéle    æt brimes nósan·,"bright after the fire,    at the ocean's cape;"
2804,sé scel tó        gemyndum    mínum léodum,it shall to        remind    my people
2805,héah hlífian    on        hrones næsse,"tower high    on        headland of whales,"
2806,þæt hit        saélíðend     syððan hátan,so that it        sea-farers    then will name
2807,Bíowulfes        Biorh    ðá ðe brentingas,"Beowulf's        Barrow,    those who ships"
2808,ofer flóda        genipu    feorran drífað.',over the seas'        mists    drive from afar.'
2809,Dyde him of        healse    hring gyldenne,"Took him from his        neck    the        golden ring,"
2810,þíoden        þrísthýdig·     þegne gesealde,"the valiant        chief,    to the thane gave,"
2811,geongum        gárwigan    goldfáhne helm,"to the young        spear-warrior,    gold-adorned helm,"
2812,béah ond        byrnan·    hét hyne brúcan well:,"ring and        byrnie,    told him to use them well:"
2813,'Þú eart        endeláf     ússes cynnes,"'You are the last        remainder    of our race,"
2814,Waégmundinga·    ealle wyrd        forswéop,of the        Waegmundings;    Fate has swept off all
2815,míne mágas    tó        metodsceafte,"of my        kinsmen    into destined death,"
2816,eorlas on        elne·    ic him æfter sceal.',earls in their        strength;    I must go after them.'
2817,Þæt wæs þám        gomelan    gingæste word,That was for the old        man    the final word
2818,bréostgehygdum            aér hé baél cure,"of the thoughts of his        breast,    ere he chose funeral fire,"
2819,háte        heaðowylmas·    him of hwæðre gewát,hot furious        seething;    yet from him went
2820,sáwol        sécean    sóðfæstra dóm.,his soul to seek            truth-fast judgement.
2821,Ðá wæs        gegongen    guman unfródum,Then it        went    with the young man
2822,earfoðlíce     þæt        hé on eorðan geseah,"painfully,     that        he saw on the ground"
2823,þone        léofestan    lífes æt ende,the dearest        man    at the end of his life
2824,bléate        gebaéran·    bona swylce læg,"miserably        enduring;    the slayer also lay,"
2825,egeslíc        eorðdraca    ealdre beréafod,"the terrible        earth-dragon     bereft of life,"
2826,bealwe        gebaéded·    béahhordum leng,balefully beaten        down;    the ring-hoard longer
2827,wyrm        wóhbogen    wealdan ne móste,"the wickedly coiled        wyrm    could not control,"
2828,"ac him        írenna    ecga fornámon,","rather him        irons'     edges took off,"
2829,hearde        heaðoscearde    homera láfe,"the hard,        battle-notched    leavings of hammers,"
2830,þæt se        wídfloga    wundum stille,"so that the        wide-flier,    stilled by wounds,"
2831,hréas on        hrúsan    hordærne néah·,fell to the        ground    near the hoard-store;
2832,nalles æfter        lyfte    lácende hwearf,not at all through the        air    flying turned
2833,middelnihtum·     máðmaéhta        wlonc,"in the middle of        nights,    proud of his prized possessions,"
2834,ansýn ýwde    ac hé        eorðan geféoll,"manifested an        appearance,    but he fell to earth"
2835,for ðæs        hildfruman    hondgeweorce.,by the        battle-leader's    work of his own        hands.
2836,Húru þæt on        lande    lýt manna ðáh,"Indeed it on        land    few men succeeded,"
2837,mægenágendra            míne gefraége,"possessors of        strength,    I have heard,"
2838,þéah ðe hé daéda        gehwæs    dyrstig waére·,though he in all        deeds    were daring;
2839,þæt hé wið        attorsceaðan     oreðe geraésde,"that he against the        poison-scourge's    breath rushed,"
2840,oððe        hringsele    hondum styrede,"or its        ring-hall    stirred up with hands,"
2841,gif hé        wæccende    weard onfunde,if he a        watching      warden        found
2842,búon on        beorge·    Bíowulfe wearð,living in the        barrow;    for Beowulf was
2843,dryhtmáðma        daél    déaðe forgolden·,"the noble treasures'        share,    repaid with death;"
2844,hæfde        aéghwæðre    ende geféred,each of them had     arrived at the end
2845,laénan        lífes.    Næs ðá lang tó ðon,of his loaned        life.    It was not long to when
2846,þæt ðá        hildlatan    holt ofgéfan,"that the        battle-shirkers    gave up the forest,"
2847,týdre        tréowlogan    týne ætsomne,"cowardly troth-breakers,    ten        together,"
2848,ðá ne dorston        aér    dareðum lácan,who had not dared        before    with javelins to fight
2849,on hyra        mandryhtnes    miclan þearfe,in their        liege-lord's    great need
2850,ac hý        scamiende    scyldas baéran,"but they,        shamed,    bore shields,"
2851,gúðgewaédu     þaér        se gomela læg·,"war-clothing,            to where the old man lay;"
2852,wlitan on        Wíláf·    hé gewérgad sæt,"they looked at        Wiglaf;    he sat wearied,"
2853,féðecempa     fréan        eaxlum néah·,the        foot-soldier    near the shoulders of his lord;
2854,wehte hyne        wætre·    him wiht ne spéow·,"he tried to rouse him with water,            but it availed him not a bit;"
2855,"ne meahte hé on        eorðan,    ðéah hé úðe wél","he could not on earth,     though he wished well, "
2856,on ðám        frumgáre    feorh gehealdan,"in that first-spear    preserve life,"
2857,né ðæs        wealdendes    wiht oncirran:,nor the Ruler's            man        turn back:
2858,wolde dóm        godes    daédum raédan,the judgement of God        would    rule the deeds
2859,gumena        gehwylcum    swá hé nú gén dëð.,"of all men,    as        it still does now."
2860,Þá wæs æt ðám        geongan    grim andswaru,Then there was from that young        man    a grim answer
2861,éðbegéte     þám ðe        aér his elne forléas·,"easily got,    for        him who earlier had lost his courage;"
2862,Wígláf maðelode            Wéohstánes sunu,"Wiglaf        spoke,    Weohstan's son,"
2863,secg        sárigferð    seah on unléofe:,a man sore at        heart    looked on the unloved men:
2864,"'Þæt, lá, mæg        secgan     sé ðe wyle sóð specan·","'That, indeed, may        say     he who wishes to speak the truth,"
2865,þæt se        mondryhten    sé éow ðá máðmas geaf,"that the        liege-lord,    he who gave you treasures,"
2866,éoredgeatwe     þé        gé þaér on standað ,"cavalry-gear,    that you stand in        there "
2867,þonne hé on        ealubence    oft gesealde,when he on the        ale-bench    often gave
2868,"healsittendum    helm ond byrnan,","to        hall-sitters    helm and byrnie,"
2869,þéoden his        þegnum    swylce hé þrýdlícost,the chieftain to his        thanes    such as he the grandest
2870,ówer feor oððe        néah    findan meahte ,anywhere far or        near    was able to find 
2871,þæt hé génunga            gúðgewaédu,that he        completely    war-clothing
2872,wráðe        forwurpe    ðá hyne wíg beget·,"grievously threw        away,    when fighting befell him;"
2873,nealles        folccyning    fyrdgesteallum,not at all the        folk-king    his companions in arms
2874,gylpan        þorfte·    hwæðre him god úðe,"need to boast        about;    yet God granted him,"
2875,sigora        waldend    þæt hé hyne sylfne gewræc,"victories'        Ruler,    that he avenged himself,"
2876,ána mid ecge    þá        him wæs elnes þearf.,"one with a        blade,    when for him was need of        valour."
2877,Ic him        lífwraðe    lýtle meahte,I him life-protection     little        could
2878,ætgifan æt        gúðe    ond ongan swá þéah,"provide in        war,    and yet began"
2879,ofer mín        gemet    maéges helpan·,beyond my measure    to aid my kinsman;
2880,symle wæs þý        saémra    þonne ic sweorde drep,"ever was it the weaker    when I struck with        sword,"
2881,ferhðgeníðlan            fýr unswíðor,"the deadly        enemy,    fire less fiercely"
2882,wéoll of        gewitte·    fergendra tó lýt,surged from the        seat of intellect;    leaders too few
2883,þrong ymbe        þéoden    þá hyne sío þrág becwóm.,"thronged around the        chieftain,    when distress came to him."
2884,Hú sceal        sincþego    ond swyrdgifu,How must        treasure-receipt    and sword-giving
2885,eall        éðelwyn    éowrum cynne,"all native        joy    for your kin,"
2886,lufen        álicgean!    Londrihtes mót,delight        cease!    Of        land-rights must
2887,þaére        maégburge    monna aéghwylc,of your        clan    every man
2888,ídel        hweorfan    syððan æðelingas,"become        deprived,    when nobles"
2889,feorran        gefricgean    fléam éowerne,"from afar        learn    of your flight,"
2890,dómléasan        daéd:    déað bið sélla,gloryless        dead:    death is better
2891,eorla        gehwylcum    þonne edwítlíf.',for all men    than        a life of dishonour.'
2892,Heht ðá þæt        heaðoweorc    tó hagan bíodan,"Then he commanded        battle-result    to be announced at the        stronghold,"
2893,úp ofer        ecgclif    þaér þæt eorlweorod,"up over the        cliff-edge,    where that warrior-band"
2894,morgenlongne        dæg    módgiómor sæt,"the morning-long        day    sat sad in spirit,"
2895,bordhæbbende            béga on wénum:,"shield-bearers,    in expectation of two        things:"
2896,endedógores    ond eftcymes,the end of his        days    or the return
2897,léofes        monnes.    Lýt swígode,of the dear        man.    On little was he silent
2898,níwra spella    sé        ðe næs gerád,"of the new        tidings,    he who rode the headland,"
2899,ac hé        sóðlíce    sægde ofer ealle:,but he        truly    said over all:
2900,'Nú is        wilgeofa    Wedra léoda,"'Now is the        wish-giver    of the Wederas' nation,"
2901,dryhten        Géata    déaðbedde fæst,"the lord of the        Geats    unmoving on his death-bed,"
2902,wunað        wælreste    wyrmes daédum·,remaining in the repose of        slaughter    by the wyrm's deeds;
2903,him on efn        ligeð    ealdorgewinna,beside him lies            his life-contender
2904,siexbennum        séoc:    sweorde ne meahte,sick with        seax-wounds:    he could not with his sword
2905,on ðám        áglaécean    aénige þinga,on that fearsome        being    in any way
2906,wunde        gewyrcean·    Wígláf siteð,inflict        wounds;    Wiglaf sits
2907,ofer        Bíowulfe    byre Wíhstánes,"over        Beowulf,    the son of Weohstan,"
2908,eorl ofer        óðrum    unlifigendum·,"one earl over        another    unliving,"
2909,healdeð        higemaéðum    héafodwearde,"he holds, weary in his        mind,    head-watch"
2910,léofes ond        láðes.    Nú ys léodum wén,over beloved and loathed.    Now        for the nation one expects
2911,orleghwíle            syððan undyrne,time of        warfare    when unsecret
2912,Froncum ond        Frýsum    fyll cyninges,"to the Franks and        Frisians,    the fall of the king,"
2913,wíde        weorðeð·    wæs sío wróht scepen,widely        becomes;    the quarrel was shaped
2914,heard wið        Húgas    syððan Higelác cwóm,"fierce against the              Hugas,    when Hygelac came"
2915,faran        flotherge    on Frésna land,faring with a        fleet    onto the Frisians' land
2916,þaér hyne        Hetware    hilde gehnaégdon·,"where him the        Hetware    attacked in battle,"
2917,elne geéodon    mid        ofermægene,"it happened in        courage    with over-strength,"
2918,þæt se        byrnwiga    búgan sceolde·,that the        mailed-warrior    had to bow down;
2919,féoll on        féðan·    nalles frætwe geaf,he fell among the        foot-troop;    not at all ornaments gave
2920,ealdor        dugoðe·    ús wæs á syððan,the lord to his        retinue;    for us was ever after
2921,Merewíoingas    milts ungyfeðe.,the Merovingian (king's)    kindness        withheld.
2922,Né ic te        Swéoðéode     sibbe oððe tréowe,I do not from the        Swedes    peace or truce
2923,wihte ne wéne    ac        wæs wíde cúð,"expect a        bit,    but it was widely known"
2924,þætte        Ongenðío    ealdre besnyðede,that        Ongentheow    of life deprived
2925,Hæðcen        Hréþling    wið Hrefnawudu,"Haethcyn Hrethel's        son    at Raven's Wood,"
2926,þá for        onmédlan    aérest gesóhton,when for        arrogance     first sought out
2927,Géata        léode    Gúð-Scilfingas,the Geatish        people    the War-Scilfings
2928,sóna him se        fróda    fæder Óhtheres,"at once him the wise,        old    father of Ohthere,"
2929,eald ond        egesfull    hondslyht ágeaf·,"ancient and        terrible,    returned onslaught by hand;"
2930,ábréot        brimwísan·    brýda herode·,"he destroyed the sea-wise        man,    he honoured his wife,"
2931,gomela        ióméowlan    golde berofene,"the old, wisened        woman    bereft of her gold,"
2932,Onelan módor    ond        Óhtheres,Onela's        mother    and Ohthere's
2933,ond ðá        folgode    feorhgeníðlan,"and then he        followed    those life-enemies,"
2934,oð ðæt hí        oðéodon     earfoðlíce,"until they        escaped    with difficulty,"
2935,in        Hrefnesholt    hláfordléase·,"into Raven's        Wood,    without a lord;"
2936,besæt ðá        sinherge    sweorda láfe,"then he besieged the        huge (sacred) grove,    the survivors of        swords"
2937,wundum        wérge·    wéan oft gehét,weary with        wounds;    he often threatened woes
2938,earmre        teohhe    ondlonge niht·,to the wretched        company    in the length of the night;
2939,cwæð: hé on        mergenne    méces ecgum,said: he in the        morning    by the edges of a maiche  
2940,"gétan wolde,    sum        on galgtréowum",he would sacrifice     one of them on the gallow-tree
2941,fuglum tó        gamene·    frófor eft gelamp,as game for the        birds;    relief came back
2942,sárigmódum    somod        aérdæge,"to the sorrow-spirited ones            together with early day,"
2943,syððan híe        Hygeláces    horn ond býman,"when they        Hygelac's    horn and trumpet,"
2944,"gealdor ongéaton             þá se góda cóm,","and his battle-yell        recognised,    then the good man came,"
2945,léoda dugoðe    on        lást faran.,with the tribe's veteran        warriors     travelling on the path.
2946,Wæs sío        swátswaðu    Swóna ond Géata,"The bloody swathe            of the Swedes and Geats,"
2947,wælraés        weora    wíde gesýne·,the slaughter-rush of        men    was widely seen;
2948,hú ðá folc mid        him    faéhðe tówehton·,how the folk between        them     awoke a feud;
2949,gewát him ðá se        góda    mid his gædelingum,"then the good man        went    with his fellow kinsmen,"
2950,fród        felageómor    fæsten sécean·,"old and wise, greated        saddened,    to seek a citadel;"
2951,eorl        Ongenþío    ufor oncirde·,"the warrior        Ongentheow    retreated higher up,"
2952,hæfde        Higeláces    hilde gefrúnen,"he had of        Hygelac's    battle-skill heard,"
2953,wlonces        wígcræft·    wiðres ne trúwode·,"the proud man's        war-craft;    he did not trust his resistance,"
2954,"þæt hé        saémannum    onsacan mihte,","that he the        sea-men    could oppose,"
2955,heaðolíðendum            hord forstandan,"against battle        travellers    defend the hoard,"
2956,bearn ond        brýde·    béah eft þonan,children and        women;    he fell back thence
2957,eald under        eorðweall·    þá wæs aéht boden,old behind the        earth-wall;    then pursuit was offered
2958,Swéona        léodum·    segn Higeláces,"to the Swedish        nation,    the standards of Hygelac"
2959,freoðowong        þone    forð oferéodon,"that place of refuge            forth overran,"
2960,syððan        Hréðlingas     tó hagan þrungon.,when the        Hrethelings    pressed forward into that        entrenchment.
2961,Þaér wearð        Ongenðíow    ecgum sweordan,"There was        Ongentheow    by edges of swords,"
2962,blondenfexa    on        bid wrecen,"the        grizzle-haired    was compelled to pause,"
2963,þæt se        þéodcyning    ðafian sceolde,so that the        tribe-king    had to submit
2964,Eafores ánne        dóm·    hyne yrringa,to the sole judgement of Eofor;    him wrathfully
2965,Wulf        Wonréðing    waépne geraéhte,"Wulf, Wonred's son,    reached with        his weapon,"
2966,þæt him for        swenge    swát aédrum sprong,so that from him by the        blow    blood in streams sprang
2967,forð under        fexe·    næs hé forht swá ðéh,"forth beneath his        hair;    he was not frightened though,"
2968,gomela        Scilfing    ac forgeald hraðe,"the aged        Scilfing,    but quickly repaid"
2969,wyrsan wrixle            wælhlem þone,"with a more terrible        response    for that slaughter-stroke,"
2970,syððan        ðéodcyning    þyder oncirde·,when the        tribe-king    turned thither;
2971,ne meahte se        snella    sunu Wonrédes,"he could not, the brave            son of Wonred,"
2972,ealdum        ceorle    hondslyht giofan,"to the old        fellow    offer onslaught by hand,"
2973,ac hé him on        héafde    helm aér gescer,"rather he        him on his head    had sheared his helm,"
2974,þæt he blode        fah    bugan sceolde·,"so that he,        blood-stained,    had to bow down;"
2975,féoll on        foldan·    næs hé faége þá gít,"he fell on the        field;    he was not doomed yet,"
2976,ac hé hyne        gewyrpte    þéah ðe him wund hrine·,"but he recovered        himself,    though the wound touched him;"
2977,lét se        hearda    Higeláces þegn,"Let he,        the hard    thane of Hygelac,"
2978,bráde méce    þá        his bróðor læg,"broad maiche,    when his brother lay        dead,"
2979,ealdsweord        eotonisc    entiscne helm,"the old ogrish        sword,    the giantish helm"
2980,brecan ofer        bordweal·    ðá gebéah cyning,"break over the        shield-wall;    then the king bowed down,"
2981,folces        hyrde·    wæs in feorh dropen.,"the shepherd of the        folk,    was struck to        his life."
2982,Ðá waéron        monige     þé his maég wriðon·,"Then there were        many,    who bandaged his        kinsman,"
2983,ricone        áraérdon    ðá him gerýmed wearð,"they quickly raised him        up,    when room was made for them,"
2984,þæt híe        wælstówe    wealdan móston·,so that they the place of        slaughter    were able to control;
2985,þenden        réafode    rinc óðerne·,"then plunder    the        one man the other,"
2986,nam on        Ongenðío    írenbyrnan,"he took from        Ongentheow    his iron byrnie,"
2987,heard swyrd        hilted    ond his helm somod·,"his hard hilted        sword,    and his helmet too;"
2988,háres        hyrste    Higeláce bær·,the hoary one's        armour    he bore to Hygelac;
2989,hé ðám frætwum        féng    ond him fægre gehét,he took the treasures    and fairly pledged to him
2990,léana mid        léodum    ond gelaéste swá·,"rewards among the        people,    and did so;"
2991,geald þone        gúðraés    Géata dryhten,"he paid for the        war-onslaught,    the lord of the Geats,"
2992,Hréðles        eafora    þá hé tó hám becóm,"Hrethel's        heir,    when he returned home,"
2993,Iofore ond        Wulfe    mid ofermáðmum·,to Eofor and        Wulf    with an abundance of treasure;
2994,sealde hiora        gehwæðrum    hund þúsenda,he gave them        both    a hundred thousand worth of
2995,landes ond locenra        béaga     ne ðorfte him ðá léan oðwítan,"land and interlocked        rings     he needed not the gifts scorn,"
2996,mon on middangearde      syððan híe ðá maérða geslógon ,"(any) man on middle-earth,      since they gained those glories in fighting "
2997,ond ðá Iofore        forgeaf    ángan dohtor,"and then to Eofor he        gave    his only daughter,"
2998,hámweorðunge    hyldo tó wedde.,"a honour to the        home,    as pledge of friendship."
2999,Þæt ys sío        faéhðo     ond se féondscipe,"That is the        feud     and the enmity,"
3000,wælníð wera    ðæs        ðe ic wéan hafo,"the slaughterous hate of        men,    for which I have woe,"
3001,þé ús séceað tó            Swéona léoda,"they shall attack        us,    the Swedish nation,"
3002,syððan híe        gefricgeað    fréan úserne,when they        learn    our lord
3003,ealdorléasne            þone ðe aér gehéold,"is lifeless,     he who formerly        preserved"
3004,wið        hettendum    hord ond ríce,"against        despisers    our hoard and kingdom,"
3005,"æfter hæleða        hryre,    hwate Scildingas·","after fall of        heroes,    bold Scyldings,"
3006,folcréd        fremede    oððe furður gén,"supported the welfare of the        folk,    or moreover"
3007,eorlscipe        efnde.    Mé is ofost betost,"accomplished noble        deeds.    For me haste is best,"
3008,þæt wé        þéodcyning     þaér scéawian,"that we the        people-king    look upon there,"
3009,ond þone        gebringan    þé ús béagas geaf,"and that one        bring,    he who gave us rings,"
3010,on        ádfære·    ne scel ánes hwæt,on a journey to the        pyre;    nor must a part only
3011,meltan mid þám        módigan    ac þaér is máðma hord,"melt with that great-spirited        one,    but there is the treasure's hoard,"
3012,gold        unríme    grimme gecéapod,"gold        uncounted,    bitterly purchased,"
3013,ond nú æt        síðestan    sylfes féore,and now at        last    with his own life
3014,"béagas        gebohte:    þá sceall brond fretan,","bought the        rings:    then the blaze must devour,"
3015,"aéled        þeccean,    nalles eorl wegan","the fire        cover,    no man shall wear"
3016,máððum tó        gemyndum    né mægð scýne,"these treasures in        remembrance,    no pretty girl"
3017,habban on        healse    hringweorðunge,"shall have on her        neck    ring-adornment,"
3018,ac sceal        geómormód    golde beréafod,"but must,        sad-hearted,    bereft of gold,"
3019,oft nalles        aéne    elland tredan,"often, not        once,    tread in alien land,"
3020,nú se        herewísa    hleahtor álegde,now the        cohort-leader    has laid aside laughter
3021,gamen ond        gléodréam.    Forðon sceall gár wesan,pleasure and        merriment.    Therefore must be spears
3022,"monig        morgenceald    mundum bewunden,","many, morning-cold,    grasped in palms,"
3023,"hæfen on        handa,    nalles hearpan swég","raised in        hands,    not at all the sound of harp"
3024,wígend        weccean    ac se wonna hrefn,"to wake the        warrior,    but the black raven,"
3025,"fús ofer        faégum    fela reordian,","eager over the        doomed,    speaking many things,"
3026,earne secgan    hú        him æt aéte spéow,"telling the        eagle,    how he succeeded in eating,"
3027,þenden hé wið        wulf    wæl réafode.',when he with the        wolf    despoiled the slain.'
3028,Swá se secg        hwata    secggende wæs,So the bold        men    was teller
3029,láðra        spella·    hé ne léag fela,of hateful        tidings;    he did not lie much
3030,wyrda né        worda.    Weorod eall árás·,in deeds or in        words.    The troop all arose;
3031,éodon        unblíðe    under earna næs,"they went unhappily            under the eagle's headland,"
3032,wollentéare    wundur        scéawian·,"with welling        tears,    to gaze upon the wonder;"
3033,fundon ðá on        sande    sáwulléasne,"they found then on the        sand,     soulless,"
3034,hlimbed        healdan    þone þe him hringas geaf,"ruling over his bed of        rest,    the who gave them rings"
3035,aérran        maélum·    þá wæs endedæg,in earlier        times;    then it was the end-day
3036,gódum        gegongen    þæt se gúðcyning,"come for good        men,    that the war-king,"
3037,Wedra        þéoden    wundordéaðe swealt.,"the Wederas'        chieftain,    died a wondrous death."
3038,AÉr hí þaér        geségan    syllícran wiht,"First they saw        there    a rarer creature,"
3039,wyrm on        wonge    wiðerræhtes þaér,"the wyrm on the        ground    just opposite there,"
3040,láðne        licgean:    wæs se légdraca,the loathsome one lying        dead:    the fire-drake was
3041,grimlíc        gryregiest    glédum beswaéled·,a grim gruesome        guest    burnt by flames;
3042,sé wæs        fíftiges    fótgemearces,it was        fifty    foot-measures
3043,lang on        legere·    lyftwynne héold,long as it        lay;    in air-joy it had ruled
3044,nihtes        hwílum·    nyðer eft gewát,"the times of the        night,    down again had gone"
3045,dennes        níosian·    wæs ðá déaðe        fæst·,"to seek its        den;    it was then still in death,"
3046,hæfde        eorðscrafa    ende genyttod.,it had of        earth-caverns    enjoyed its end.
3047,Him big        stódan    bunan ond orcas·,"They stood by        him     goblets and beakers,"
3048,discas lágon    ond        dýre swyrd,"lay plates    and        precious swords,"
3049,ómige        þurhetone    swá híe wið eorðan fæðm,"eaten through by        rust,    as if they had in the embrace of the        earth"
3050,þúsend        wintra    þaér eardodon·,a thousand        winters    remained there;
3051,"þonne wæs þæt        yrfe     éacencræftig,","then was that              legacy     of exceedingly powerful,"
3052,iúmonna        gold    galdre bewunden,"gold of men of        yore,    encompassed by an incantation,"
3053,þæt ðám        hringsele    hrínan ne móste,that the        ring-hall    could not touch
3054,gumena        aénig    nefne god sylfa,"any man,    unless        God himself,"
3055,sigora        sóðcyning    sealde þám ðe hé wolde,victories'        Truth-king    allowed he who He wished
3056, hé is manna        gehyld      hord openian·," He is man's        protector     to open the hoard,"
3057,efne swá hwylcum        manna    swá him gemet ðúhte.,even so to every        man    as it seemed fitting to Him.
3058,Þá wæs        gesýne    þæt se síð ne ðáh,Then it was seen            that the venture did not benefit
3059,þám ðe        unrihte     inne gehýdde,"who he        unrightly    had hidden inside,"
3060,wræce under        wealle·    weard aér ofslóh,vengeance under the        walls;    this warden earlier slew
3061,féara        sumne·    þá sío faéhð gewearð,one man of a        few;    then was the feud
3062,gewrecen        wráðlíce.    Wundur hwár þonne,wrathfully        avenged.    It        is a wonder where then
3063,eorl        ellenróf    ende gefére,a man famed for        courage     should meet end
3064,lífgesceafta            þonne leng ne mæg,"of his fated        life,    when he can no longer"
3065,mon mid his        maégum    meduseld búan·,"one among his        kinsmen,     inhabit a mead-hall;"
3066,"swá wæs        Bíowulfe,    þá hé biorges weard","thus it was for        Beowulf,     when he the barrow's ward"
3067,sóhte        searoníðas:    seolfa ne cúðe,sought treacherous        quarrels:    he himself did not know
3068,þurh hwæt his worulde        gedál    weorðan sceolde. ,through what his parting from this        world    must bring about.
