1 Hwæt! Wé Gárdena     in géardagum
1874 ealdum infródum,     óþres swíðor·
1875 þæt híe seoððan @     geséon móston
1876 módige on meþle·     wæs him se man tó þon léof
1877 þæt hé þone bréostwylm     forberan ne mehte
1878 ac him on hreþre     hygebendum fæst
1879 æfter déorum men     dyrne langað
1880 beorn wið blóde.     Him Béowulf þanan
1881 gúðrinc goldwlanc     græsmoldan træd
1882 since hrémig·     saégenga bád
1883 ágedfréän     sé þe on ancre rád·
1884 þá wæs on gange     gifu Hróðgáres
1885 oft geæhted·     þæt wæs án cyning,
1886 aéghwæs orleahtre     oþ_þæt hine yldo benam
1887 mægenes wynnum     sé þe oft manegum scód.
1888 Cwóm þá tó flóde     fela_módigra
1889 hægstealdra· @     hringnet baéron
1890 locene leoðosyrcan·     landweard onfand
1891 eftsíð eorla,     swá hé aér dyde·
1892 nó hé mid hearme     of hliðes nósan
1893 gæstas grétte     ac him tógéanes rád·
1894 cwæð þæt wilcuman     Wedera léodum
1895 scaþan scírhame     tó scipe fóron·
1896 þá wæs on sande     saégéap naca
1897 hladen herewaédum     hringedstefna
1898 méarum ond máðmum·     mæst hlífade
1899 ofer Hróðgáres     hordgestréonum·
1900 hé þaém bátwearde     bunden golde
1901 swurd gesealde     þæt hé syðþan wæs
1902 on meodubence     máþma þý weorþre
1903 yrfeláfe.     Gewát him on nacan
1904 dréfan déop wæter·     Dena land ofgeaf·
1905 þá wæs be mæste     merehrægla sum
1906 segl sále fæst·     sundwudu þunede·
1907 nó þaér wégflotan     wind ofer ýðum
1908 síðes getwaéfde·     saégenga fór·
1909 fléat fámigheals     forð ofer ýðe
1910 bundenstefna     ofer brimstréamas
1911 þæt híe Géata clifu     ongitan meahton
1912 cúþe næssas·     céol úp geþrang
1913 lyftgeswenced·     on lande stód.
1914 Hraþe wæs æt holme     hýðweard geara
1915 sé þe aér lange tíd     léofra manna
1916 fús æt faroðe     feor wlátode·
1917 saélde tó sande     sídfæþme scip
1918 oncearbendum fæst     þý laés hym ýþa ðrym
1919 wudu wynsuman     forwrecan meahte·
1920 hét þá úp beran     æþelinga gestréon
1921 frætwe ond faétgold·     næs him feor þanon
1922 tó gesécanne     sinces bryttan
1923 Higelác Hréþling     þaér æt hám wunað
1924 selfa mid gesíðum     saéwealle néah.
1925 Bold wæs betlíc,     bregoróf cyning
1926 héähealle,     Hygd swíðe geong
1927 wís wélþungen     þéah ðe wintra lýt
1928 under burhlocan     gebiden hæbbe
1929 Hæreþes dohtor     næs hío hnáh swá þéah
1930 né tó gnéað gifa     Géata léodum
1931 máþmgestréona.     Mód_þrýðo wæg
1932 fremu folces cwén,     firen' ondrysne·
1933 naénig þæt dorste     déor genéþan
1934 swaésra gesíða,     nefne sinfréä·
1935 þæt hire an dæges     éagum starede
1936 ac him wælbende     weotode tealde
1937 handgewriþene·     hraþe seoþðan wæs
1938 æfter mundgripe     méce geþinged
1939 þæt hit sceádenmaél     scýran móste,
1940 cwealmbealu cýðan·     ne bið swylc cwénlic þéaw
1941 idese tó efnanne     þéah ðe hío aénlicu sý·
1942 þætte freoðuwebbe     féores onsaéce
1943 æfter ligetorne     léofne mannan.
1944 Húru þæt on_hóh_snod     Hemninges maég·
1945 ealodrincende     óðer saédan·
1946 þæt hío léodbealewa     laés gefremede
1947 inwitníða     syððan aérest wearð
1948 gyfen goldhroden     geongum cempan
1949 æðelum díore     syððan hío Offan flet
1950 ofer fealone flód     be fæder láre
1951 síðe gesóhte     ðaér hío syððan well
1952 in gumstóle     góde maére
1953 lífgesceafta     lifigende bréac·
1954 híold héahlufan     wið hæleþa brego,
1955 ealles moncynnes     míne gefraége
1956 þæs sélestan     bí saém twéonum
1957 eormencynnes·     Forðám Offa wæs
1958 geofum ond gúðum     gárcéne man
1959 wíde geweorðod·     wísdóme héold
1960 éðel sínne·     þonon ongéomor wóc
1961 hæleðum tó helpe     Heminges maég
1962 nefa Gármundes     níða cræftig.
1963 Gewát him ðá se hearda     mid his hondscole
1964 sylf æfter sande     saéwong tredan
1965 wíde waroðas·     woruldcandel scán
1966 sigel súðan fús·     hí síð drugon·
1967 elne geéodon,     tó ðæs ðe eorla hléo
1968 bonan Ongenþéoes     burgum in innan,
1969 geongne gúðcyning     gódne gefrúnon
1970 hringas daélan.     Higeláce wæs
1971 síð Béowulfes     snúde gecýðed·
1972 þæt ðaér on worðig     wígendra hléo
1973 lindgestealla     lifigende cwóm
1974 heaðoláces hál     tó hofe gongan·
1975 hraðe wæs gerýmed     swá se ríca bebéad
1976 féðegestum     flet innanweard·
1977 gesæt þá wið sylfne     sé ðá sæcce genæs,
1978 maég wið maége     syððan mandryhten
1979 þurh hléoðorcwyde     holdne gegrétte
1980 méaglum wordum     meoduscencum
1981 hwearf geond þæt síde_reced     Hæreðes dohtor
1982 lufode ðá léode·     liðwaége bær
1983 haéum tó handa.     Higelác ongan
1984 sínne geseldan     in sele þám héan
1985 fægre fricgcean·     hyne fyrwet bræc
1986 hwylce Saé-Géata     síðas waéron:
1987 'Hú lomp éow on láde,     léofa Bíowulf,
1988 þá ðú faéringa     feorr gehogodest
1989 sæcce sécean     ofer sealt wæter
1990 hilde tó Hiorote?     Ac ðú Hróðgáre
1991 wídcúðne wéan     wihte gebéttest
1992 maérum ðéodne?     Ic ðæs módceare
1993 sorhwylmum séað·     síðe ne trúwode
1994 léofes mannes·     ic ðé lange bæd
1995 þæt ðú þone wælgaést     wihte ne grétte·
1996 léte Súð-Dene     sylfe geweorðan
1997 gúðe wið Grendel·     gode ic þanc secge
1998 þæs ðe ic ðé gesundne     geséon móste.'
1999 Bíowulf maðelode     bearn Ecgðíoes:
2000 'Þæt is undyrne,     dryhten Higelác,
2001 micel geméting     monegum fíra·
2002 hwylc orleghwíl     uncer Grendles
2003 wearð on ðám wange     þaér hé worna fela
2004 Sige-Scyldingum     sorge gefremede
2005 yrmðe tó aldre·     ic ðæt eall gewræc
2006 swá begylpan @ þearf     Grendeles mága
2007 yfel ofer eorðan     úhthlem þone
2008 sé ðe lengest leofað     láðan cynnes
2009 fáecne bifongen.     Ic ðaér furðum cwóm
2010 tó ðám hringsele     Hróðgár grétan·
2011 sóna mé se maéra     mago Healfdenes
2012 syððan hé módsefan     mínne cúðe
2013 wið his sylfes sunu     setl getaéhte·
2014 weorod wæs on wynne·     ne seah ic wídan feorh
2015 under heofones hwealf     healsittendra
2016 medudréam máran.     Hwílum maéru cwén
2017 friðusibb folca     flet eall geondhwearf·
2018 bædde byre geonge·     oft hío béahwriðan
2019 secge sealde     aér híe tó setle géong·
2020 hwílum for duguðe     dohtor Hróðgáres
2021 eorlum on ende     ealuwaége bær
2022 þá ic Fréaware     fletsittende
2023 nemnan hýrde     þaér hío nægled sinc
2024 hæleðum sealde     Sío geháten is
2025 geong goldhroden,     gladum suna Fródan·
2026 hafað þæs geworden     wine Scyldinga
2027 ríces hyrde     ond þæt raéd talað
2028 þæt hé mid ðý wífe     wælfaéhða daél
2029 sæcca gesette.     Oft seldan hwaér
2030 æfter léodhryre     lýtle hwíle
2031 bongár búgeð     þéah séo brýd duge.
2032 Mæg þæs þonne ofþyncan     ðéoden Heaðo-Beardna
2033 ond þegna gehwám     þára léoda
2034 þonne hé mid faémnan     on flett gaëð:
2035 dryhtbearn Dena     duguða biwenede,
2036 on him gladiað     gomelra láfe
2037 heard ond hringmaél     Heaða-Bearna gestréon
2038 þenden híe ðám waépnum     wealdan móston.
2039 Oð_ðæt híe forlaéddan     tó ðám lindplegan
2040 swaése gesíðas     ond hyra sylfra feorh.
2041 Þonne cwið æt béore     sé ðe béahgesyhð
2042 eald æscwiga     sé ðe eall geman
2043 gárcwealm gumena     —him bið grim sefa—
2044 onginneð géomormód     geongum cempan
2045 þurh hreðra gehygd     higes cunnian,
2046 wígbealu weccean     ond þæt word ácwyð:
2047 "Meaht ðú, mín wine,     méce gecnáwan
2048 þone þín fæder     tó gefeohte bær
2049 under heregríman     hindeman síðe,
2050 dýre íren,     þaér hyne Dene slógon·
2051 wéoldon wælstówe     syððan wiðergyld læg
2052 æfter hæleþa hryre     hwate Scyldungas?
2053 Nú hér þára banena     byre náthwylces
2054 frætwum hrémig     on flet gaëð·
2055 morðres gylpeð     ond þone máðþum byreð
2056 þone þe ðú mid rihte     raédan sceoldest."
2057 Manað swá ond myndgað     maéla gehwylce
2058 sárum wordum     oð_ðæt saél cymeð
2059 þæt se faémnan þegn     fore fæder daédum
2060 æfter billes bite     blódfág swefeð
2061 ealdres scyldig·     him se óðer þonan
2062 losað lifigende·     con him land geare.
2063 Þonne bíoð brocene     on bá healfe
2064 áðsweorð eorla·     syððan Ingelde
2065 weallað wælníðas     ond him wíflufan
2066 æfter cearwælmum     cólran weorðað·
2067 þý ic Heaðo-Beardna     hyldo ne telge
2068 dryhtsibbe daél     Denum unfaécne,
2069 fréondscipe fæstne.     Ic sceal forð sprecan
2070 gén ymbe Grendel     þæt ðú geare cunne,
2071 sinces brytta,     tó hwan syððan wearð
2072 hondraés hæleða     syððan heofones gim
2073 glád ofer grundas     gaést yrre cwóm
2074 eatol aéfengrom     úser néosan
2075 ðaér wé gesunde     sæl weardodon
2076 þaér wæs Hondsciö     hilde onsaége
2077 feorhbealu faégum·     hé fyrmest læg
2078 gyrded cempa·     him Grendel wearð
2079 maérum maguþegne     tó múðbonan·
2080 léofes mannes     líc eall forswealg·
2081 nó ðý aér út ðá gén     ídelhende
2082 bona blódigtóð     bealewa gemyndig
2083 of ðám goldsele     gongan wolde
2084 ac hé mægnes róf     mín costode·
2085 grápode gearofolm·     glóf hangode
2086 síd ond syllíc     searobendum fæst
2087 sío wæs orðoncum     eall gegyrwed
2088 déofles cræftum     ond dracan fellum·
2089 hé mec þaér on innan     unsynnigne
2090 díor daédfruma     gedón wolde
2091 manigra sumne·     hyt ne mihte swá
2092 syððan ic on yrre     upprihte ástód.
2093 Tó lang ys tó reccenne     hú ic ðám léodsceaðan
2094 yfla gehwylces     hondléan forgeald
2095 þaér ic, þéoden mín,     þíne léode
2096 weorðode weorcum·     he on weg losade
2097 lýtle hwíle     lífwynna bréac·
2098 hwæþre him sío swíðre     swaðe weardade
2099 hand on Hiorte     ond hé héan ðonan
2100 módes geómor     meregrund geféoll.
2101 Mé þone wælraés     wine Scildunga
2102 faéttan golde     fela léanode
2103 manegum máðmum     syððan mergen cóm
2104 ond wé tó symble     geseten hæfdon
2105 þaér wæs gidd ond gléo:     gomela Scilding
2106 felafricgende     feorran rehte·
2107 hwílum hildedéor     hearpan wynne
2108 gomelwudu grétte·     hwílum gyd áwræc
2109 sóð ond sárlíc·     hwílum syllíc spell
2110 rehte æfter rihte     rúmheort cyning·
2111 hwílum eft ongan     eldo gebunden
2112 gomel gúðwiga     gioguðe cwíðan
2113 hildestrengo·     hreðer inne wéoll
2114 þonne hé wintrum fród,     worn gemunde.
2115 Swá wé þaér_inne     andlangne dæg
2116 níode náman     oð_ðæt niht becwóm
2117 óðer tó yldum·     Þá wæs eft hraðe
2118 gearo gyrnwræce     Grendeles módor
2119 síðode sorhfull·     sunu déað fornam,
2120 wíghete Wedra·     wíf unhýre
2121 hyre bearn gewræc·     beorn ácwealde
2122 ellenlíce·     þaér wæs Æschere
2123 fródan fyrnwitan     feorh úðgenge.
2124 Nóðer hý hine ne móston     syððan mergen cwóm
2125 déaðwérigne     Denia léode
2126 bronde forbærnan     né on baél hladan
2127 léofne mannan·     hío þæt líc ætbær
2128 féondes fæðme     under firgenstréam·
2129 þæt wæs Hróðgáre     hréowa tornost
2130 þára þe léodfruman     lange begéate.
2131 Þá se ðéoden mec     ðíne lífe
2132 healsode hréohmód     þæt ic on holma geþring
2133 eorlscipe efnde·     ealdre genéðde·
2134 maérðo fremede·     hé mé méde gehét.
2135 Ic ðá ðæs wælmes     þé is wíde cúð
2136 grimme gryrelícne     grundhyrde fond·
2137 þaér unc hwíle wæs     hand gemaéne·
2138 holm heolfre wéoll     ond ic héafde becearf
2139 in ðám grundsele     Grendeles módor
2140 éacnum ecgum·     unsófte þonan
2141 feorh oðferede·     næs ic faége þá gýt
2142 ac mé eorla hléo     eft gesealde
2143 máðma menigeo     maga Healfdenes.'
2144 Swá se ðéodkyning     þéawum lyfde·
2145 nealles ic ðám léanum     forloren hæfde
2146 mægnes méde     ac hé mé maðma geaf
2147 sunu Healfdenes     on mínne sylfes dóm
2148 ðá ic ðé, beorncyning,     bringan wylle,
2149 éstum geýwan·     gén is eall æt ðé
2150 @ lissa gelong·     ic lýt hafo
2151 héafodmága     nefne, Hygelác, ðec.'
2152 Hét ðá in beran     eafor_héafodsegn
2153 heaðostéapne helm     háre byrnan
2154 gúðsweord geatolíc·     gyd æfter wræc:
2155 'Mé ðis hildesceorp     Hróðgár sealde
2156 snotra fengel·     sume worde hét
2157 þæt ic his aérest ðé     ést gesægde·
2158 cwæð þæt hyt hæfde     Hiorogár cyning
2159 léod Scyldunga     lange hwíle·
2160 nó ðý aér suna sínum     syllan wolde
2161 hwatum Heorowearde     þéah hé him hold waére
2162 bréostgewaédu.     Brúc ealles well.'
2163 Hýrde ic þæt þám frætwum     féower méaras
2164 lungre gelíce     lást weardode
2165 æppelfealuwe·     hé him ést getéah
2166 méara ond máðma.     Swá sceal maég dön:
2167 nealles inwitnet     óðrum bregdon
2168 dyrnum cræfte     déað rénian
2169 hondgesteallan.     Hygeláce wæs
2170 níða heardum     nefa swýðe hold
2171 ond gehwæðer óðrum     hróþra gemyndig·
2172 hýrde ic þæt hé ðone healsbéah     Hygde gesealde
2173 wraétlicne wundurmáððum     ðone þe him Wealhðéo geaf
2174 ðéodnes dohtor     þrío wicg somod
2175 swancor ond sadolbeorht·     hyre syððan wæs
2176 æfter béahðege     bréost geweorðod.
2177 Swá bealdode     bearn Ecgðéowes
2178 guma gúðum cúð     gódum daédum·
2179 dréah æfter dóme·     nealles druncne slóg
2180 heorðgenéatas·     næs him hréoh sefa
2181 ac hé mancynnes     maéste cræfte
2182 ginfæstan gife     þé him god sealde
2183 héold hildedéor.     Héan wæs lange
2184 swá hyne Géata bearn     gódne ne tealdon
2185 né hyne on medobence     micles wyrðne
2186 drihten wereda     gedón wolde·
2187 swýðe sægdon     þæt hé sléac waére
2188 æðeling unfrom·     edwenden cwóm
2189 tíréadigum menn     torna gehwylces.
2190 Hét ðá eorla hléo     in gefetian,
2191 heaðoróf cyning,     Hréðles láfe
2192 golde gegyrede·     næs mid Géatum ðá
2193 sincmáðþum sélra     on sweordes hád·
2194 þæt hé on Bíowulfes     bearm álegde
2195 ond him gesealde     seofan þúsendo,
2196 bold ond bregostól.     Him wæs bám samod
2197 on ðám léodscipe     lond gecynde
2198 eard éðelriht,     óðrum swíðor
2199 síde ríce     þám ðaér sélra wæs.
2200 Eft þæt geíode     ufaran dógrum
2201 hildehlæmmum·     syððan Hygelác læg
2202 ond Heardréde     hildeméceas
2203 under bordhréoðan     tó bonan wurdon
2204 ðá hyne gesóhtan     on sigeþéode
2205 hearde hildefrecan     Heaðo-Scilfingas·
2206 níða genaégdan     nefan Hereríces·
2207 @ syððan Béowulfe     braéde ríce
2208 on hand gehwearf·     hé gehéold tela
2209 fiftig wintra     —wæs ðá fród cyning
2210 eald éþelweard—     oð_ðæt ón ongan
2211 deorcum nihtum     draca rícsian
2212 sé ðe on héaum_hofe     hord beweotode
2213 stánbeorh stéarcne·     stíg under læg
2214 eldum uncúð.     Þaér on innan gíong
2215 niða náthwylc     ond néah geféng
2216 haéðnum horde·     hond_gewríþenne @
2217 @ since fáhne     @ hé þæt syððan beget
2218 þéah ðe hé slaépende     besyred hæfde
2219 þéofes cræfte·     þæt síe ðíod onfand
2220 búfolc beorna     þæt hé gebolgen wæs.
2221 Nealles næs geweoldum     wyrmhordan cræft
2222 sylfes willum     sé ðe him sáre gesceód
2223 ac for þréanédlan     þéof náthwylces
2224 hæleða bearna     heteswengeas fléoh
2225 ærnesþearfe     ond ðaér inne weall
2226 secg synbysig     sóna onwacade·
2227 þæt géan ðám gyste     gryrebróga stód·
2228 hwæðre fyrensceapen     @
2229 @     @
2230 @     @ @ se faér begeat·
2231 sincfæt sóhte·     þaér wæs swylcra fela
2232 in ðám eorðsele     aérgestréona
2233 swá hý on géardagum     gumena náthwylc
2234 eormenláfe     æþelan cynnes
2235 þanchycgende     þaér gehýdde
2236 déore máðmas·     ealle híe déað fornam
2237 aérran maélum     ond sí án ðá gén
2238 léoda duguðe     sé ðaér lengest hwearf
2239 weard winegeómor     wénde þæs yldan·
2240 þæt hé lýtel fæc     longgestréona
2241 brúcan móste.     Beorh eallgearo
2242 wunode on wonge     wæterýðum néah
2243 níwe be næsse     nearocræftum fæst·
2244 þaér on innan bær     eorlgestréona
2245 hringa hyrde     handwyrðne daél
2246 faéttan goldes·     féa worda cwæð:
2247 'Heald þú nú, hrúse,     nú hæleð ne móstan
2248 eorla aéhte.     Hwæt, hyt aér on ðé
2249 góde begéaton·     gúðdéað fornam
2250 feorhbeale frécne     fyrena gehwylcne
2251 léoda mínra     þá mé_ðe þis @ ofgeaf:
2252 gesáwon seledréam·     hé náh hwá sweord wege
2253 oððe fægrie     faéted waége
2254 dryncfæt déore·     duguð ellor séoc·
2255 sceal se hearda helm     hyrstedgolde
2256 faétum befeallen·     feormynd swefað
2257 þá ðe beadogríman     býwan sceoldon·
2258 gé swylce séo herepád     sío æt hilde gebád
2259 ofer borda gebræc     bite írena
2260 brosnað æfter beorne·     ne mæg byrnan hring
2261 æfter wígfruman     wíde féran
2262 hæleðum be healfe·     næs hearpan wyn
2263 gomen gléobéames     né gód hafoc
2264 geond sæl swingeð     né se swifta mearh
2265 burhstede béateð·     bealocwealm hafað
2266 fela feorhcynna     forð onsended.'
2267 Swá giómormód     giohðo maénde
2268 án æfter eallum·     unbliðe hwearf
2269 dæges ond nihtes     oð_ðæt déaðes wylm
2270 hrán æt heortan.     Hordwynne fond
2271 eald úhtsceaða     opene standan
2272 sé ðe byrnende     biorgas séceð
2273 nacod níðdraca·     nihtes fléogeð
2274 fýre befangen·     hyne foldbúend
2275 @ ...nan.     Hé gesécean sceall
2276 hearm on hrúsan     þaér hé haéðen gold
2277 warað wintrum fród·     ne byð him wihte ðý sél.
2278 Swá se ðéodsceaða     þréo hund wintra
2279 héold on hrúsan     hordærna sum
2280 éacencræftig     oð_ðæt hyne án ábealch
2281 mon on móde:     mandryhtne bær
2282 faéted waége·     frioðowaére bæd
2283 hláford sínne·     ðá wæs hord rásod,
2284 onboren béaga hord,     béne getíðad
2285 féasceaftum men·     fréa scéawode
2286 fíra fyrngeweorc     forman síðe.
2287 Þá se wyrm onwóc     —wróht wæs geníwad—
2288 stonc ðá æfter stáne·     stearcheort onfand
2289 féondes fótlást·     hé tó forð gestóp
2290 dyrnan cræfte     dracan héafde néah.
2291 Swá mæg unfaége     éaðe gedígan
2292 wéan ond wraécsíð     sé ðe waldendes
2293 hyldo gehealdeþ.     Hordweard sóhte
2294 georne æfter grunde·     wolde guman findan
2295 þone þe him on sweofote     sáre getéode·
2296 hát ond hréohmód     hlaéwum oft ymbehwearf
2297 ealne útanweardne     —né ðaér aénig mon
2298 on þám wéstenne     hwæðre hilde gefeh
2299 beadu_weorces     —hwílum on beorh æthwearf·
2300 sincfæt sóhte·     hé þaét sóna onfand·
2301 ðæt hæfde gumena sum     goldes gefandod
2302 héahgestréona·     hordweard onbád
2303 earfoðlíce     oð_ðæt aéfen cwóm·
2304 wæs ðá gebolgen     beorges hyrde·
2305 wolde se láða     líge forgyldan
2306 drincfæt dýre.     Þá wæs dæg sceacen
2307 wyrme on willan·     nó on wealle læg
2308 bídan wolde     ac mid baéle fór
2309 fýre gefýsed·     wæs se fruma egeslíc
2310 léodum on lande     swá hyt lungre wearð
2311 on hyra sincgifan     sáre geendod.
2312 Ðá se gæst ongan     glédum spíwan,
2313 beorht hofu bærnan·     bryneléoma stód
2314 eldum on andan·     nó ðaér áht cwices
2315 láð lyftfloga     laéfan wolde·
2316 wæs þæs wyrmes wíg     wíde gesýne
2317 nearofáges níð     néan ond feorran·
2318 hú se gúðsceaða     Géata léode
2319 hatode ond hýnde·     hord eft gescéat
2320 dryhtsele dyrnne     aér dæges hwíle·
2321 hæfde landwara     líge befangen
2322 baéle ond bronde·     beorges getrúwode
2323 wíges ond wealles·     him séo wén geléah.
2324 Þá wæs Bíowulfe     bróga gecýðed
2325 snúde tó sóðe     þæt his sylfes hám
2326 bolda sélest     brynewylmum mealt
2327 gifstól Géata·     þæt ðám gódan wæs
2328 hréow on hreðre     hygesorga maést·
2329 wénde se wísa     þæt hé wealdende
2330 ofer ealde riht     écean dryhtne
2331 bitre gebulge·     bréost innan wéoll
2332 þéostrum geþoncum     swá him geþýwe ne wæs.
2333 Hæfde lígdraca     léoda fæsten
2334 éalond útan     eorðweard ðone
2335 glédum forgrunden·     him ðæs gúðkyning
2336 Wedera þíoden     wræce leornode·
2337 heht him þá gewyrcean,     wígendra hléo
2338 eallírenne,     eorla dryhten,
2339 wígbord wraétlíc·     wisse hé gearwe
2340 þæt him holtwudu     helpan ne meahte
2341 lind wið líge.     Sceolde líþenddaga
2342 æþeling aérgód     ende gebídan
2343 worulde lífes     ond se wyrm somod
2344 þéah ðe hordwelan     héolde lange.
2345 Oferhogode ðá     hringa fengel
2346 þæt hé þone wídflogan     weorode gesóhte
2347 sídan herge·     nó hé him þám sæcce ondréd
2348 né him þæs wyrmes wíg     for wiht dyde
2349 eafoð ond ellen     forðon hé aér fela
2350 nearo néðende     níða gedígde
2351 hildehlemma     syððan hé Hróðgáres
2352 sigoréadig secg     sele faélsode
2353 ond æt gúðe forgráp     Grendeles maégum
2354 láðan cynnes.     Nó þæt laésest wæs
2355 hondgemóta     þaér mon Hygelác slóh
2356 syððan Géata cyning     gúðe raésum
2357 fréawine folca     Fréslondum on
2358 Hréðles eafora     hiorodryncum swealt
2359 bille gebéaten·     þonan Bíowulf cóm
2360 sylfes cræfte·     sundnytte dréah·
2361 hæfde him on earme     eorla þrítig
2362 hildegeatwa     þá hé tó holme stág·
2363 nealles Hetware     hrémge þorfton
2364 féðewíges     þé him foran ongéan
2365 linde baéron·     lýt eft becwóm
2366 fram þám hildfrecan     hámes níosan.
2367 Oferswam ðá sioleða bigong     sunu Ecgðéowes
2368 earm ánhaga     eft tó léodum
2369 þaér him Hygd gebéad     hord ond ríce
2370 béagas ond bregostól:     bearne ne trúwode
2371 þæt hé wið ælfylcum     éþelstólas
2372 healdan cúðe     ðá wæs Hygelác déad·
2373 nó ðý aér féasceafte     findan meahton
2374 æt ðám æðelinge     aénige ðinga
2375 þæt hé Heardréde     hláford waére
2376 oððe þone cynedóm     cíosan wolde·
2377 hwæðre hé him on folce     fréondlárum héold
2378 éstum mid áre     oð_ðæt hé yldra wearð·
2379 Weder-Géatum wéold.     Hyne wræcmæcgas
2380 ofer saé sóhtan,     suna Óhteres·
2381 hæfdon hý forhealden     helm Scylfinga
2382 þone sélestan     saécyninga
2383 þára ðe in Swíoríce     sinc brytnade,
2384 maérne þéoden·     him þæt tó mearce wearð·
2385 hé þaér for_feorme     feorhwunde hléat
2386 sweordes swengum     sunu Hygeláces
2387 ond him eft gewát     Ongenðioes bearn
2388 hámes níosan     syððan Heardréd læg·
2389 lét ðone bregostól     Bíowulf healdan,
2390 Géatum wealdan·     þæt wæs gód cyning.
2391 Sé ðæs léodhryres     léan gemunde
2392 uferan dógrum·     Éadgilse wearð
2393 féasceaftum fréond·     folce gestépte
2394 ofer saé síde     sunu Óhteres
2395 wigum ond waépnum·     @ hé gewræc syððan
2396 cealdum cearsiðum·     cyning ealdre binéat:
2397 swá hé níða gehwane     genesen hæfde
2398 slíðra geslyhta,     sunu Ecgðíowes,
2399 ellenweorca     oð ðone ánne dæg
2400 þé hé wið þám wyrme     gewegan sceolde.
2401 Gewát þá twelfa sum     torne gebolgen
2402 dryhten Géata,     dracan scéawian·
2403 hæfde þá gefrúnen     hwanan sío faéhð árás
2404 bealoníð biorna:     him tó bearme cwóm
2405 máðþumfæt maére,     þurh ðæs meldan hond·
2406 sé wæs on ðám ðréate     þreottéoða secg
2407 sé ðæs orleges     ór onstealde
2408 hæft hygegiómor·     sceolde héan ðonon
2409 wong wísian·     hé ofer willan gíong
2410 tó ðæs ðe hé eorðsele     ánne wisse
2411 hlaéw under hrúsan     holmwylme néh
2412 ýðgewinne·     sé wæs innan full
2413 wraétta ond wíra·     weard unhíore
2414 gearo gúðfreca     goldmáðmas héold
2415 eald under eorðan·     næs þæt ýðe céap
2416 tó gegangenne     gumena aénigum.
2417 Gesæt ðá on næsse     níðheard cyning·
2418 þenden haélo ábéad     heorðgenéatum
2419 goldwine Géata·     him wæs geómor sefa
2420 waéfre ond wælfús,     wyrd ungemete néah
2421 sé ðone gomelan     grétan sceolde,
2422 sécean sáwle hord,     sundur gedaélan
2423 líf wið líce·     nó þon lange wæs
2424 feorh æþelinges     flaésce bewunden.
2425 Bíowulf maþelade     bearn Ecgðéowes:
2426 'Fela ic on giogoðe     gúðraésa genæs
2427 orleghwíla·     ic þæt eall gemon·
2428 ic wæs syfanwintre     þá mec sinca baldor
2429 fréawine folca     æt mínum fæder genam·
2430 héold mec ond hæfde     Hréðel cyning·
2431 geaf mé sinc ond symbel·     sibbe gemunde·
2432 næs ic him tó life     láðra ówihte
2433 beorn in burgum     þonne his bearna hwylc
2434 Herebeald ond Hæðcyn     oððe Hygelác mín.
2435 Wæs þám yldestan     ungedéfelice
2436 maéges daédum     morþorbed strëd
2437 syððan hyne Hæðcyn     of hornbogan
2438 his fréawine     fláne geswencte·
2439 miste mercelses     ond his maég ofscét
2440 bróðor óðerne     blódigan gáre·
2441 þæt wæs feohléas gefeoht     fyrenum gesyngad,
2442 hreðre hygeméðe·     sceolde hwæðre swá þéah
2443 æðeling unwrecen     ealdres linnan.
2444 Swá bið geómorlíc     gomelum ceorle
2445 tó gebídanne     þæt his byre ríde
2446 giong on galgan:     þonne hé gyd wrece,
2447 sárigne sang     þonne his sunu hangað
2448 hrefne tó hróðre     ond hé him helpan ne mæg
2449 eald ond infród     aénige gefremman·
2450 symble bið gemyndgad     morna gehwylce
2451 eaforan ellorsíð·     óðres ne gýmeð
2452 tó gebídanne     burgum in innan
2453 yrfeweardas     þonne se án hafað
2454 þurh déaðes nýd     daéda gefondad·
2455 gesyhð sorhcearig     on his suna búre
2456 wínsele wéstne     windge reste
2457 réote berofene·     rídend swefað
2458 hæleð in hoðman·     nis þaér hearpan swég
2459 gomen in geardum     swylce ðaér iú waéron.
2460 Gewíteð þonne on sealman·     sorhléoð gæleð
2461 án æfter ánum·     þúhte him eall tó rúm
2462 wongas ond wícstede.     Swá Wedra helm
2463 æfter Herebealde     heortan sorge
2464 weallinde, wæg:     wihte ne meahte
2465 on ðám feorhbonan     faéghðe gebétan·
2466 nó ðý aér hé þone heaðorinc     hatian ne meahte
2467 láðum daédum     þéah him léof ne wæs·
2468 hé ðá mid þaére sorhge     þé him sío sár belamp
2469 gumdréam ofgeaf·     godes léoht gecéas·
2470 eaferum laéfde     swá déð éadig mon
2471 lond ond léodbyrig     þá hé of lífe gewát.
2472 Þá wæs synn ond sacu     Swéona ond Géata
2473 ofer wíd wæter     wróht gemaéne
2474 hereníð hearda     syððan Hréðel swealt
2475 oððe him Ongenðéowes     eaferan waéran
2476 frome fyrdhwate·     fréode ne woldon
2477 ofer heafo healdan     ac ymb Hréosnabeorh
2478 eatolne inwitscear     oft gefremedon
2479 þæt maégwine     míne gewraécan,
2480 faéhðe ond fyrene     swá hyt gefraége wæs
2481 þéah ðe óðer his     ealdre gebohte
2482 heardan céape·     Hæðcynne wearð
2483 Géata dryhtne     gúð onsaége.
2484 Þá ic on morgne gefrægn     maég óðerne
2485 billes ecgum     on bonan staélan
