á|always, ever, forever
sundur|asunder, separately
sund-wudu|sea-wood i.e. ship
sunne|sun
sunu,|son
súð|south(wards)
Súð-Dene|see Dene.
swá|so, thus, in this manner; as
swancor|supple, graceful
swan-rád|swan-road, sea
swát|(sweat), blood
swát-fáh|blood-stained
swátig|(sweaty), bloody
swát-swaðu|bloody track (swathe)
swaþrian|subside, become still
swaðu|track, (swathe)
swaþul|flame, heat
swaés|(one's) own, dear
swaés-líce|in a friendly manner, gently
swæþer|whichever of two
swebban|(put to sleep), kill
sweccan|smell
swefan|sleep, sleep in death
swefeð|see swebban.
swég,|sound, music, noise
swegl|sky, heaven
swegl|bright, brilliant
swegl-wered|clothed with radiance
swelan|burn(intr.)
swelgan|swallow
swellan|swell
sweltan|die
swencan|press hard, harass, afflict
sweng,|blow, stroke
sweofot|sleep
sweoloð|heat, flames
Swéon|Swedes
swéor-|see in compound áþum-swéoras.
sweorcan|become dark, become grievous
ge-sweorcan|be dark, lower
sweord|sword
sweord-bealo|sword-evil, death by the sword
sweord-freca|(sword-) warrior
sweotol|clear, manifest
Swéo-ðéod|the Swedish people
swerian|swear
Swerting|(maternal) uncle of Hygelác
swéte|sweet, fragrant, pure, pleasant
sweðrian|subside, diminish, cease
swícan|depart, escape
ge-swícan|fail, prove inefficient
swift|swift
swíge|silent
swígian|be silent
swilce|see swylce.
swín|(swine), image of a boar (on a helmet)
swincan|labour, toil
ge-swing|vibration, swirl, surf
swingan|fly
swín-líc|boar-figure
Swío-ríce|Sweden
swioðol|fire, flame
swíð|strong, harsh
swíðe|very, much, very much
swíð-ferhð|strong-minded, determined, brave
swíð-hicgende|strong-minded, valiant
swíð-mód|stout-hearted, strong-minded
swógan|resound, roar
swór|see swerian.
swulces|see swylc.
swurd|see sweord.
swurd-léoma|sword-light
swutol|see sweotol.
swylc|such
swylce|likewise, also; (such) as
swylt|death
swylt-dæg|day of death
swymman (swimman)|swim
swýn|see swín.
swynsian (swinsian)|make a (pleasing/cheerful) sound
swyrd|see sweord.
swyrd-gifu|giving of swords
swýð(e)|see swíð(e).
sý|see eom.
syfan-wintre|seven years (winters) old
syfone|see seofon.
syl(l) |sill, floor
sylf|see self.
syllan|see sellan.
syl-líc|see sel-líc.
symbel|feast, banquet
symbel-wyn(n)|joy of feasting, delightful feast
sym(b)le (sim(b)le)|ever, always, continuously
symle, ds.|see symbel.
syn(n)|sin, crime
syn-bysig|distressed by sin, guilty
syn-dolh (sin-)|very great wound
syndon|see eom.
ge-sýne|visible, evident
syn-gáles|see sin-gáles.
ge-syngian|sin, commit a crime
syn-scaþa|sin-scather, malefactor, miscreant, sinful criminal
syn-snaéd|huge morsel
synt|see eom.
ge-synto|health, safety
syrce|shirt of mail
syrwan|plot, ambush
syððan|see siððan.
tácen|token, sign, evidence
talian|suppose, consider (somebody or something to be such and such)
ge-taécan|show, point out, assign
ge-taése|agreeable
te|see tó.
téar|tear (from weeping)
tela|well, properly
telge|see tellan.
tellan|account, reckon, conside (somebody or something to be such and such)
ge-tenge|lying on, close to
teoh(h)|company, band, troop
teohhian|appoint, assign
ge-téon,|confer, bestow, grant
téon|draw
ge-téon|draw
ge-téon|assign, allot
tíd|time
til|good
tilian|strive after, earn, win, secure
timbran|build (timber)
tír|glory, honour
tír-éadig|glorious, famous
tír-fæst|glrious, famous
tír-léas|inglorious, vanquished
tíðian (tigðian)|grant
tó-, prefix|see the following words
tó-brecan|break (to pieces), shatter
tó-drífan|drive asunder, separate
tó-gædre|together
tó-géanes|opposite (towards somebody)
togen|see téon, II.
tó-glídan|(glide asunder), split (intr.)
tó-hlídan|crack, spring apart
tó-lúcan|pull asunder, destroy, dislocate
tó-middes|in the midst
torht|bright, resplendent
torn|anger
torn|grievous, bitter
torn-gemót|hostile meeting
tó-somne|together
tó-weccan|(wake up), stir up
tredan|tread, walk upon, traverse
treddian|step, go
trem(m)|step, space
tréow|truth, good faith, fidelity
tréowan|trust
tréow-loga|one flase to pledged faith (troth), traitor
trodu|track, footrprint
trum|strong
ge-trum|troop, company
truwian|trust, have faith in
ge-truwian|trust
tryddian|see treddian.
trýwe|true, faithful
ge-trýwe|true, faithful
twá|see twégen.
ge-twaéfan|separate, part, put an end to
ge-twaéman|separate, hinder
twégen|twá, f.(n.)|twain, two
twelf|twelve
twéone|two
týdre|weak, craven
týn|ten
þá|then; when
þá, pron.|see sé.
ðafian|consent to, submit to
þáh|see þéon, I.
ge-þah|see ge-þicgan.
þám|see sé.
þanan|see þonan.
þanc|thank(s)
þanc-hycgende|thoughtful
þancian|thank (for)
þanon|see þonan.
þára|see sé.
ge-þaégon|see ge-þicgan.
þaém, þaére, þæs|see sé.
þaér|there; where
þæt, pron.|see sé.
þæt|that
þætte|that
þé, pers. pron.|see þú.
þé, isn.|see sé.
þé, þe|who, which, that, etc.
þéah|nevertheless, however
ge-þeah|see ge-þicgan.
þearf|need, want, distress, difficulty, trouble
þearf|see þurfan.
þearfa|needy, lacking
ge-þearfian|necessitate, impose necessity
þearle|severly, hard
þéaw|custom, usage, manner
þec|see þú.
þeccean|cover, enfold
þegn|thane, follower, attendant, retainer, warrior, servant
þegn-sorg|sorrow for thanes
þégon, -un|see þicgan.
þéh|see þéah.
þehton|see þeccean.
þencan|think
ge-þencan|think, remember
þenden|while
þengel|prince
þénian|serve
þéod|people, nation, troop of warriors
þéod-cyning|king of a people
þéoden|lord, prince, king, chief
ðéoden-léas|lord-less, deprived of one's chief
þéod-gestréon|people's treasure, great treasure
ðéod-kyning|see þéod-cyning.
þéod-sceaða|people's foe/scather
Þéod-Scyldingas|see Scyldingas.
þéod-þréa|distress of the people, great calamity
þéof|thief
þéon|thrive, prosper
ge-þéon|prosper, flourish
þéon|see þýwan.
þéos|see þes, þés.
þéostre|dark, gloomy
þéow|slave, servant
þés, þéos, þis|this
þicgan|receive, take, partake of (food, drink)
ge-þicgan|receive, partake of, drink
þín|thy (thine)
þincean|see þyncan.
þing|thing, affair, matter
ge-þingan|determine, appoint, purpose
ge-þinge|agreement, compact
þingian|settle, compound
ðíod(-), þíoden|see þéod(-), þéoden.
þis|see þes, þés.
ge-þóht|thought
þolian|suffer, endure
ge-þolian|suffer, endure
þon|see sé.
þon|see þonne
þonan|thence
ge-þonc|thought
þone|see sé.
þonne|then; when
þonon|see þonan.
þorfte|see þurfan.
þrág|time
ge-þræc|press, heap
þréa-nédla|dire distress
þréa-nýd|distress, sad necessity
ðréat|crowd, company, troop
þréatian|press, harass, threaten
þrec-wudu|(might-wood), spear
þréo, num.|three
þreottéoða|thirteenth
þridda|third
ge-þring|throng, tumult
þringan|intr., throng, press forward
ge-þringan|intr., press (forward)
þrío|see þréo.
þríst-hýdig|bold-minded, brave
þrítig, num.|thirty
þrówian|suffer
ge-þuren|hammered
þrýd-líc|see þrýð-líc.
ðrym(m)|might, force
þrýð|(pl.), might, strength
ðrýþ-ærn|mighty house, splendid hall
þrýð-líc|mighty, powerful, splendid
Þrýðo|see Módþrýðo.
ðrýð-swýð (swíð)|strong/mighty (one?)
þrýð-word|strong (brave, noble) word(s)
þú|thou
þúhte|see þyncan.
ge-þungen|see þeon, I.
þunian|(thunder), creak, groan
þurfan|need, have good cause/reason
þurh|through
þurh-brecan|break through
þurh-dúfan|(dive) swim through
þurh-etan|eat through
ðurh-fón|penetrate
þurh-téon|bring about, effect
þurh-wadan|go through, penetrate
þus|thus, so
þúsend, num.|thousand
ge-þwaére|harmonious, united, loyal
þý|see sé.
þyder|thither
þýhtig|strong, firm
ge-þyld|patience
þyle|orator, spokesman, official entertainer
þyncan|seem, appear
þyrel, þýrel|pierced through
þyrs,|troll, ogre, giant
þys-líc|such, thusly
þýs, þysne, þysses, þyssum|see þes, þés.
þýstru|darkness
þýwan, þéon|oppress, threaten
ge-þýwe|customary, usual
ufan|from above
ufera|(higher), later
ufor|comp., higher up, farther away
úhta|time just before daybreak, dawn, twilight, dusk
úht-floga|twilight-, dusk-, night-flier
úht-hlem(m)|din or crash at dusk/dawn/night
úht-sceaða|depredator (scather) at dusk/twilight
umbor-wesende|being a child
un-, prefix|see following words
un-blíðe,|joyless, unhappy, sorrowful
un-byrnende|without burning
unc|see ic.
uncer|of us two
un-cúð|unknown
un-dearninga|without concealment, openly
under|under
undern-maél|morning-time
un-dyrne, -derne|not hidden, manifest
un-faécne|without deceit, sincere
un-faége|undoomed, not fated to die
un-faéger|unfair, horrible
Un-ferð|'þýle' of Hróðgár
un-flitme|undisputed
un-forht|unafraid, fearless, brave
un-forhte|fearlessly, without hesistation
un-fród|not old, young, unexperienced(?)
un-from|inactive, feeble
un-geára|not long, ago, recently
un-gedéfe-líce|unfittingly
un-gemete|without measure, exceedingly
un-gléaw|unwise, imprudent, foolish, unskilled, ignorant
un-gyfeðe (-gifeðe)|not granted, denied
un-haélo|evil, destruction
un-héore, -híore, -hýre|awful, frightful, monstrous
un-hlit-in|place in which fellowship is absent
un-hrór|weak, (made) useless
un-igmetes|without measure, exceedingly
un-léof|unloved, not loved
un-lifigende|unliving, not living, dead
un-lýtel|not little, great
un-murn-líce|(unmournfully), ruthlessly
unnan|not begrudge, wish (somebody to have something), grant
ge-unnan|grant
un-nyt(t)|useless
un-riht|wrong
un-rihte|(or ds. of unriht, n.), wrongfully
un-rím|countless number, infinity
un-ríme|countless, infinite
un-rót|sad, depressed
un-snyttru|folly (unwisdom)
un-sófte|(unsoftly), with difficulty, hardly
un-swíðe|not strongly
un-synnig|guiltless (unsinning)
un-synnum|(dp.), guiltlessly
un-taéle|blameless
un-týdre|evil brood, evil offspring
un-wác-líc|not (weak) mean
un-wearnum|(dp.), without hindrance, irresistibly
un-wrecen|unavenged
up|up(wards)
up-lang|upright
uppe|up, above
upp-riht|upright
úre|our
úrum, ús, úser|see ic.
úserne|see úre.
ússes, ússum|see úre.
út|out (motion)
útan|from without, outside
útan-weard|outside (outward)
út-fús|ready (eager) to set out
uton|let us
út-weard|turning outwards, striving to escape
úþe|see unnan.
úð-genge|departing (out-going)
wá|woe, ill
wacian|keep watch
wada, -o, -u|see wæd.
wadan|go, advance
ge-wadan|go, advance (to a certain point)
wág|wall
wala|re-inforced crest (on a helmet)
waldend|see wealdend.
wald-swaþu|forest-track, -path
wan|see won(n).
wandrian|wander, rove, circle
wang|see wong.
wanian|wane, diminish, waste away
waroð|shore
wást, wát|see witan.
waðol|wandering
wæccan|watch, be awake
wæcnan|waken, arise, spring, be born
wæd|water, sea
ge-waéde|dress, equipment, armour
waéfre|restless
waég-bora|wave-roamer
waége|cup, flagon
waég-holm|(billowy) sea
waég-líðend(e)|seafarer
Waég-mundingas|the family to which Wíhstán, Wígláf, and Béowulf belong
waég-sweord|sword with wavy ornamentation ( = damascened/pattern-welded sword)
wæl|those slain in battle (collect.), corpse(?)
wæl-bed(d)|bed of death
wæl-bend|deadly bond
wæl-bléat|deadly, mortal
wæl-déað|murderous death
wæl-dréor|blood/gore of slaughter
wæl-faéhð|deadly feud
wæl-fág|slaughter-stained
wæl-feal(l)|slaughter
wæl-fús|ready for death, eager for slaughter(?)
wæl-fyl(l),|slaughter
wæl-fyllo|abundance of (the) slain, fill of slaughter
wæl-fýr|murderous fire
wæl-gaést|murderous spirit
wæl-hlem(m)|slaughter-blow, onslaught
wæll-seax|slaughter-seax, battle-knife
wælm|see wylm.
wæl-níð|deadly hate, hostility
wæl-raés|murderous onslaught, bloody conflict
waél-ráp|water-rope/fetter (i.e. ice)
wæl-réaf|spoil of battle
wæl-réc|deadly (reek) fumes
wæl-réow|fierce in battle
wæl-rest|bed of slaughter
Wæls|father of Sigemund
wæl-sceaft|slaughter-(shaft, i.e.) spear
Wælsing|son of Wæls, (i.e. Sigemund)
wæl-sliht,|slaughter
wæl-steng|pole of/for the slain
wæl-stów|place of the slain/slaughter, battle-field
waén (wægn)|wain, waggon
waépen|weapon
waépned-mon(n)|(be)weaponed person/man, i.e., male creature, man
waér|agreement, treaty
wærc|pain, suffering
waére, waéran, -on, wæs|see eom.
wæstm|growth, stature, form
wæter|water, sea
wæter-egesa|water-terror, dreadful water(?)
wæter-ýð|wave of the sea
wé|see ic.
wéa|woe, misery, trouble
wéa-daéd|deed of woe
weal(l)|wall (artificial or natural
wéa-láf|woeful remnant, survivors of calamity
ge-wealc|rolling
ge-weald|power, control
wealdan|control, have power over, rule, wield, possess
ge-wealdan|control, wield
ge-wealden|see ge-wealdan.
wealdend|ruler, wielder, i.e., God
Wealh-þéo(w)|Hróðgár's queen
weallan|well, surge, boil
weall-clif|cliff (see weal(l))
weard|ward(en), watchman, guardian, keeper, lord, possessor
weard|ward, watch, vigil
weardian|ward, guard, occupy
wearn|(hindrance), refusal
wéa-spel(l)|tidings of woe
weaxan|wax, grow, increase, flourish
ge-weaxan|wax, increase
web(b)|web, tapestry
weccan|wake, rouse, stir up
wed(d)|pledge
weder|weather
Wederas|=Weder-Géatas
Weder-Géatas|see Géatas.
Weder-mearc|land of the (Weder-)Geats
weg|way
wég (waég)|wave
wegan|carry, wear, have (feelings)
ge-wegan|fight
wég-flota (waég-)|wake-floater, ship
wehte|see weccan.
wél, well|(always stressed), well, very much, rightly
Wéland|famous smith of Germanic legend
wél-hwylc|every (one)
welig|wealthy, rich
wél-þungen|accomplishd, excellent
wén|expectation
wénan|ween, expect, think
wendan|turn
ge-wendan|turn
Wendlas|Vandals
wennan|(accustom, attach to oneself), entertain, present
Wéoh-stán (Wéox-)|see Wíh-stán.
weora, gp.|see wer.
weorc|work, deed
ge-weorc|work
weorod|see werod.
weorpan|throw
weorð|valued, dear, honoured
weorð|worth, value, price
weorðan|happen, come to pass, arise
ge-weorðan|suit, seem good
weorð-ful(l) |worthy, illustrious
weorðian|honour, exalt
weorð-líce|worthily, splendidly
weorð-mynd|honour, glory
weotena|see wita.
weotian (witian)|in weotod, pp., appointed, ordained, assured, destined
wer|man
wered|sweet drink (mead?)
werga (wérga?)|accursed, evil
wérge, -um|see wérig.
(ge-)wérgian|weary, fatigue, tire
werhðo|torment, punishment, damnation
werian|defend, protect
wérig|weary
wérig-mód|weary-hearted, disheartened
werod|band, host, company, troop
wer-þéod|people, nation
wesan|see eom.
West-Dene|see Dene.
wéste|waste(d), deserted
wéste(n)|waste, desert, wilderness
wíc|dwelling place, abode
ge-wícan|give way, fail
wicg|horse
wíc-stede|dwelling-place, home, homestead
wíd|wide, extended, spacious, gsn.wk. wídan
wíd-cúþ|widely known, famous
wíde|widely, far and wide, far
wíde-ferhð|for a long time, forever, ever
wíd-floga|far-flier
ge-widre|weather, storm
wíd-scofen|pushed far, far-reaching, great
wíd-wegas|wide-stretched ways, distant/far-extending regions
wíf|woman, lady
ge-wif (or ge-wife) |web (of destiny), fortune
wíf-lufu (-lufe)|love for a woman (or wife)
wíg|war, fight, warfare
wiga|warrior
wígan|fight
wíg-bealu|war-bale, war
wíg-bil(l)|battle-sword, (-bill)
wíg-bord|battle-shield (board)
wíg-cræft|prowess, war-strength(/-craft/-skill)
wíg-cræftig|strong/skilful in battle
wígend|warrior
wigeð|see wegan.
wíg-freca|warrior
wíg-fruma|war-chief
wigge|see wíg.
wíg-getáwa|war-equipment
wíg-geweorþad|distinguished in battle (war-worthied)
wíg-gryre|war horror, martial terror/power
wíg-heafola|war-head, i.e. helmet
wíg-héap|band of warriors
wíg-hete|(war-hate), war
wíg-hryre|fall in fight
Wíg-láf|a Waégmunding, kinsman & retainer of Béowulf
wíg-sigor|(war-)victory
wíg-spéd|success in war, victory
wigtig|see wítig.
wíg-weorþung|honouring idols, religious sacrifice
Wíh-stán, Wéoh-stán|father of Wígláf
wiht|(wight), creature, being
wil-cuma|welcome person
wildéor [wild-déor]|wild beast
Wilfingas|see Wylfingas.
wil-geofa|joy-giver, lord
wil-gesíþ|dear companion
willa|will, wish, desire
willan|want to, wish, desire
wilnian|desire, ask for (gen.)
wil-síð|wished-for journey
wín|wine
wín-ærn|wine-hall
wind|wind
win-dæg|day or labour/strife
windan|wind, fly, curl, eddy
ge-windan|go, turn
wind-blond|tumult of winds
wind-geard|home of the winds
windig|windy
wine|friend, (friendly) lord/protector
wine-drihten|friend and lord
wine-geómor|mourning one's friends
wine-léas|friendless (ref. to exile)
wine-maég|friend and kinsman, retainer
winia, winigea|see wine.
ge-win(n)|strife, struggle, contest, fight
winnan|contend, fight, struggle
wín-rece|wine-hall
wín-sele|wine-hall
winter|winter
ge-wiofu|see ge-wif.
wír|wire, metal band, ornament
wís|wise
wísa|leader
wíscan (wýscan)|wish
wís-dóm|wisdom
wíse|wise, way, manner, fashion
wís-fæst|wise
wís-hycgende|wise in thought
wísian|show the way, guide, direct, lead
ge-wis-líce|certainly
wisse, -on|see witan.
wist|(sustenance), feast(ing), abundance, prosperity
wiste, -on|see witan.
wist-fyllo|fill of feasting, plentiful meal
wíston|see wíscan.
wit(t)|wit, intelligence
ge-wit(t)|intellect, senses, wit
wit, pers. pron.|see ic. [Go. wit]. see witan below for etyml. notes.
wita|wise man, councilor, advisor
witan|know
ge-witan|know, ascertain
wítan|lay to (somebody's) charge
ge-wítan|depart, go
wítig|wise
wítnian|punish, torment
witod|see weotian.
ge-wittig|wise, conscous
Wiðer-gyld|a Heaðo-Bard warrior
wiðer-ræhtes|opposite
wið-fón|lay hold of/on
wið-grípan|grapple with
wið-habban|hold out against, withstand
wiðre|resistance
wlanc|see wlonc.
wlátian|gaze, look out for
wlenco|pride, high spirit, daring
wlítan|look, gaze
wlite,|countenance, appearance, beauty
wlite-beorht|beautiful, fair, sublime
wlite-séon|sight, spectacle
wlitig|beautiful
wlonc|proud, high-spirited, bold, daring
wóc|see wæcnan.
wóh|crooked, perverse
wóh-bogen|bent, coiled
wolcen|cloud
wolde|see willan.
wollen-téar|with welling/gushing tears
wóm|see wóh.
wom(m)|stain, blot, evil
won, pret.|see winnan.
won(n)|dark, black
wong|plain, field, land, country, place
wong-stede|place
won-hýd (-hygd)|recklessness
Won-réd|a Geat, father of Eulf and Eofor
Won-réding|son of Wonréd (i.e. Wulf)
won-saélí (-sælig)|unhappy
won-sceaft|misery
wóp|weeping, lamentation
worc|see weorc.
word|word
word-cwide|words, speech
word-gyd(d)|lay, elegy
word-hord|word-hoard, store of words, (vocabulary)
word-riht|(word-right), right word, censure
worhte|see wyrcan.
worn|large number, great quantity
worold|world
worold-ár|worldly honour
worold-cyning|(earthly) king
worðig|enclosed homestead, precinct(s)
worð-mynd|see weorð-mynd.
woruld-candel|world-candle (sun)
woruld-ende|end of the world
worold-raédend|worldly practice, i.e., vengeance
wracu|revenge, vengeance, punishment
wraéc|(f.?|see B.-T.), misery, distress
wræcca|see wrecca.
wræce|see wracu.
wræc-lást (wraéc-?)|track/path of exile
wræc-mæcg (wraéc-?)|banished man, outcast
wræc-síð (wraéc-?)|exile, misery
wraét(t)|ornament, work of art
wraét-líc|ornamental, splendid, wondrous
wráð|hostile (subst.: foe), fierce
wráðe|grievously
wráð-líce|cruelly, severely
wrecan|drive, force
ge-wrecan|avenge, punish
wrecca|exile (wretch), adventurer, hero
wrecend|avenger
wreoþen-hilt|with twisted hilt
wrídian|grow, flourish
wrítan|cut, engrave (write)
(ge-)wríþan|(twist), bind
wrixl|exchange
wrixlan|change, vary, exchange
ge-wrixle|exchange
wróht|(accusation), quarrel, strife
wudu,|wood
wudu-réc|wood-smoke
wuldor|glory, splendour, honour
wuldor-torht|gloriously bright
wuldur-cyning|king of glory (=god)
wulf|wolf
Wulf|a Geat (warrior), son of Wonréd, brother of Eofor
Wulf-gár|an (Wendle) official at the court of Hróðgár
wulf-hliþ|wolf-slope, retreat of wolves
wund|wound
wund|wounded
wunden-feax|with (wound) plaited/braided hair, with curly mane
wunden-gold|wound gold
wunden-hals|with (wound) curved (neck i.e.) prow
wunden-maél|sword with (wound) curved/twisting markings, i.e. damascened/pattern-welded sword
wunden-stefna|ship with (wound) curved (stem) prow
wunder-fæt|wonderful vessel
wundor|wonder, wonderful thing
wundor-bebod|strange/mysterious command (advice)
wundor-déað|wondrous death
wundor-líc|wonderful, strange
wundor-síon|wondrous sight
wundor-smiþ|wonder-smith, smith who makes wondrous things or smith who works by wondrous art
wundur-máððum|wondrous jewel/treasure
wunian|dwell, live, remain, continue, be situated
ge-wunian|remain with, stand by (somebody)
wurð-|see weorð-.
wutun|see uton.
wyl(l)e, wyllað, wylt|see willan.
Wylfingas|a Germanic tribe
wylm|welling, surging, flood
wyn(n)|joy, delight, pleasure
wyn-léas|joyless
wyn-sum|joyous, pleasant, fair, winsome
wyrcan|work, do, make
ge-wyrcan|make, perform, carry out accomplish, achieve
wyrd|fate, destiny
wyrdan|injure, destroy
wyrm,|serpent
wyrm-cyn(n)|race of serpents
wyrm-fáh|serpent-patterned, (as applied to sword, i.e., pattern-welded, damascened)
wyrm-hord|dragon's (wyrm's) hoard
wyrp|change (for the better)
ge-wyrpan|refl., recover
wyrsa|worse
wyrt|root
wyrðe|worthy of, fit for
wyruld-|see worold-.
yfel|evil
ylca|(the) same
yldan|delay (trans.)
ylde|men
yldesta|see eald.
yldo|age, old age
yldra|see eald.
ylfe|elves
ymb-beorgan|protect (round about)
ymbe-fón|clasp, enclose
ymbe-hweorfan|move (intr.) about
ymb-éode|went round
ymb-sittan|sit round
ymb(e)-sittend|neighbouring peoples (those living [sitting] about, or on the borders)
yppe|raised floor, high seat
yrfe|heritage, lineage, genealogy
yrfe-láf|heirloom
yrfe-werad|(guardian of inheritance), heir
Yrmen-láf|a Dane
yrmþ(u)|misery
yrre|anger, ire
yrre|angry, irate
yrre-mód|angry (of mood)
yrringa|angrily
ys|see eom.
ýð|wave
ýðan|destroy
ýðe|see éaðe.
ýðe-líce|easily
ýð-geblond|tossing waves, surge, surging water, (blended water)
ýþ-geséne|see éþ-gesýne.
ýð-gewin(n)|wave-strife, struggle of the waves
ýþ-lád|way across the waves, sea-voyage
ýð-láf|leaving of waves, (sand on) shore
ýð-lida|wave-traverser, ship
ýwan|show, manifest
ge-ýwan|show, present, bestow
